"","year(datosmeteo$Date)","month(datosmeteo$Date)","day(datosmeteo$Date)","mean(HiTemp)","mean(LowTemp)","mean(OutHum, na.rm = TRUE)","mean(WindSpeed)","sum(SunLight)"
"257",2015,9,14,28.5875,27.6583333333333,76.4583333333333,0.9375,13
"258",2015,9,15,29.9,28.6833333333333,71.4583333333333,0.875,13
"259",2015,9,16,30.4625,29.1708333333333,69.25,1.27083333333333,13
"260",2015,9,17,28.6083333333333,27.45,75.4583333333333,0.679166666666667,13
"261",2015,9,18,26.475,25.4125,88.75,0.216666666666667,13
"262",2015,9,19,26.8875,25.9041666666667,88.7083333333333,0.154166666666667,13
"263",2015,9,20,29.35,28.275,78.3333333333333,0.525,13
"264",2015,9,21,28.5416666666667,27.0833333333333,80.8333333333333,0.495833333333333,13
"265",2015,9,22,26.9333333333333,25.9375,86.625,0.308333333333333,13
"266",2015,9,23,25.6458333333333,24.8375,92.5,0.158333333333333,13
"267",2015,9,24,26.2916666666667,25.2666666666667,89.9583333333333,0.154166666666667,13
"268",2015,9,25,26.7416666666667,25.7541666666667,89.75,0.116666666666667,13
"269",2015,9,26,27.7041666666667,26.7875,86.6666666666667,0.145833333333333,13
"270",2015,9,27,26.9916666666667,26.0208333333333,90.4166666666667,0.233333333333333,13
"271",2015,9,28,27.5791666666667,26.5625,87.375,0.0541666666666667,13
"272",2015,9,29,29.0458333333333,28.0083333333333,82.3333333333333,0.233333333333333,13
"273",2015,9,30,27.1333333333333,26.0583333333333,86.8333333333333,0.1875,13
"274",2015,10,1,27.2083333333333,26.2458333333333,85.7083333333333,0.245833333333333,13
"275",2015,10,2,26.4083333333333,25.4416666666667,87.2916666666667,0.154166666666667,13
"276",2015,10,3,26.4875,25.4708333333333,88.2083333333333,0.270833333333333,13
"277",2015,10,4,27.6666666666667,26.6416666666667,85.2083333333333,0.15,13
"278",2015,10,5,28.5875,27.5583333333333,76.2083333333333,0.625,13
"279",2015,10,6,29.2333333333333,27.9583333333333,72.8333333333333,1.35,13
"280",2015,10,7,29.3375,27.9583333333333,72.5,1.09166666666667,13
"281",2015,10,8,28.7166666666667,27.6291666666667,75.75,0.820833333333333,13
"282",2015,10,9,27.7416666666667,26.8,79.5416666666667,0.820833333333333,13
"283",2015,10,10,28.1416666666667,27.1416666666667,77.3333333333333,0.745833333333333,13
"284",2015,10,11,27.8125,26.6,81.3333333333333,0.5375,13
"285",2015,10,12,25.6666666666667,24.8,92.375,0.0666666666666667,13
"286",2015,10,13,26.9666666666667,26.0166666666667,86.5,0.179166666666667,13
"287",2015,10,14,27.2041666666667,26.2125,87.9166666666667,0.208333333333333,13
"288",2015,10,15,27.25,26.4083333333333,87.1666666666667,0.166666666666667,13
"289",2015,10,16,26.9166666666667,25.8791666666667,88.5833333333333,0.2375,12
"290",2015,10,17,26.6125,25.8458333333333,89.0833333333333,0.120833333333333,13
"291",2015,10,18,26.8708333333333,26.0375,89.7083333333333,0.133333333333333,13
"292",2015,10,19,27.0833333333333,26.1416666666667,90.4583333333333,0.166666666666667,13
"293",2015,10,20,26.7375,25.925,92.25,0.133333333333333,12
"294",2015,10,21,26.1083333333333,25.3083333333333,93.7916666666667,0.0166666666666667,13
"295",2015,10,22,28.1333333333333,27.2083333333333,80.7916666666667,0.5875,13
"296",2015,10,23,27.8375,26.7708333333333,85.0416666666667,0.129166666666667,13
"297",2015,10,24,26.7416666666667,25.8458333333333,92.3333333333333,0.0333333333333333,13
